"Name","Instance Count","Size (bytes)"
"com.jprofiler.agent.util.a.e",3,168
"com.jprofiler.agent.util.a.e$a[ ]",3,240
"com.jprofiler.agent.util.b.g$6",3,48
"com.jprofiler.api.agent.ProbeObjectType",3,72
"java.io.BufferedWriter",3,120
"java.io.DataInputStream",3,96
"java.io.FilePermission",3,120
"java.io.OutputStreamWriter",3,72
"java.io.RandomAccessFile",3,96
"java.lang.ClassNotFoundException",3,120
"java.lang.PublicMethods",3,72
"java.lang.Runtime$Version",3,96
"java.lang.StringCoding$Result",3,72
"java.lang.String[ ][ ]",3,968
"java.lang.ThreadGroup",3,144
"java.lang.WeakPairMap",3,72
"java.lang.annotation.RetentionPolicy",3,72
"java.lang.invoke.BoundMethodHandle$Species_LLLLL",3,144
"java.lang.invoke.DirectMethodHandle$Interface",3,120
"java.lang.invoke.LambdaForm[ ]",3,624
"java.lang.invoke.MethodHandleImpl$AsVarargsCollector",3,120
"java.lang.invoke.StringConcatFactory$Mode",3,72
"java.lang.reflect.AccessibleObject$$Lambda$9.2025864991",3,48
"java.nio.charset.CodingErrorAction",3,48
"java.security.DrbgParameters$Capability",3,72
"java.security.SecurityPermission",3,72
"java.util.Arrays$ArrayItr",3,72
"java.util.Collections$SingletonList",3,72
"java.util.Collections$UnmodifiableMap",3,96
"java.util.Formatter",3,96
"java.util.IdentityHashMap",3,120
"java.util.ResourceBundle$NoFallbackControl",3,48
"java.util.ResourceBundle$ResourceBundleProviderHelper$$Lambda$48.222624801",3,48
"java.util.jar.JarFile",3,192
"java.util.stream.Collector$Characteristics",3,72
"java.util.stream.ReferencePipeline$3",3,192
"java.util.stream.ReferencePipeline$3$1",3,72
"java.util.stream.ReferencePipeline$7",3,192
"java.util.stream.ReferencePipeline$7$1",3,72
"java.util.zip.ZipFile$Source",3,192
"java.util.zip.ZipFile$Source$End",3,120
"jdk.internal.jimage.BasicImageReader$1",3,72
"jdk.internal.loader.AbstractClassLoaderValue$Memoizer",3,120
"jdk.internal.loader.URLClassPath$1",3,96
"jdk.internal.loader.URLClassPath$3",3,72
"jdk.internal.math.FloatingDecimal$BinaryToASCIIBuffer",3,120
"jdk.internal.math.FloatingDecimal$ExceptionalBinaryToASCIIBuffer",3,72
"jdk.internal.module.IllegalAccessLogger$Mode",3,72
"jdk.internal.module.ServicesCatalog",3,48
"jdk.internal.reflect.ReflectionFactory$GetReflectionFactoryAction",3,48
"org.sqlite.SQLiteConfig$DateClass",3,72
"org.sqlite.SQLiteConfig$DateClass[ ]",3,96
"org.sqlite.SQLiteConfig$DatePrecision[ ]",3,72
"org.sqlite.SQLiteConfig$HexKeyMode",3,72
"org.sqlite.SQLiteConfig$SynchronousMode",3,72
"org.sqlite.SQLiteConfig$TempStore",3,72
"org.sqlite.SQLiteConfig$TransactionMode[ ]",3,96
"sun.management.spi.PlatformMBeanProvider$PlatformComponent$$Lambda$55.692085716",3,48
"sun.management.spi.PlatformMBeanProvider$PlatformComponent$$Lambda$56.556792760",3,48
"sun.nio.cs.StreamEncoder",3,144
"sun.security.action.GetBooleanAction",3,48
"sun.security.provider.HashDrbg",3,336
"sun.security.provider.MoreDrbgParameters",3,144
"sun.security.provider.SHA2$SHA256",3,192
"sun.util.locale.provider.LocaleResources",3,96
"com.jprofiler.agent.JProfilerThreadManager",2,80
"com.jprofiler.agent.probe.CallSite",2,64
"com.jprofiler.agent.probe.a.a.f",2,48
"com.jprofiler.agent.probe.a.a.f[ ]",2,48
"com.jprofiler.agent.probe.a.a.j",2,48
"com.jprofiler.agent.probe.a.a.j[ ]",2,48
"com.jprofiler.agent.probe.a.a.k",2,48
"com.jprofiler.agent.probe.a.a.k[ ]",2,48
"com.jprofiler.agent.probe.a.ab",2,64
"com.jprofiler.agent.probe.a.ab[ ]",2,48
"com.jprofiler.agent.probe.a.d.f[ ]",2,64
"com.jprofiler.agent.probe.h.a",2,96
"com.jprofiler.agent.probe.l",2,48
