"Time [s]","Committed size","Free size","Used size"
560.02,131072000,121587000,9485000
561.02,131072000,121587000,9485000
562.04,131072000,121587000,9485000
563.04,131072000,121587000,9485000
564.04,131072000,121587000,9485000
565.04,131072000,121587000,9485000
566.04,131072000,121587000,9485000
567.04,131072000,121587000,9485000
568.06,131072000,121587000,9485000
569.06,131072000,121587000,9485000
570.07,131072000,121587000,9485000
571.07,131072000,121587000,9485000
572.07,131072000,121587000,9485000
573.07,131072000,121587000,9485000
574.09,131072000,121587000,9485000
575.09,131072000,121587000,9485000
576.09,131072000,121587000,9485000
577.09,131072000,121587000,9485000
578.1,131072000,121587000,9485000
579.1,131072000,121587000,9485000
580.11,131072000,121587000,9485000
581.11,131072000,121587000,9485000
582.11,131072000,121587000,9485000
583.12,131072000,121587000,9485000
584.13,131072000,121587000,9485000
585.13,131072000,121587000,9485000
586.13,131072000,121587000,9485000
587.14,131072000,121587000,9485000
588.15,131072000,121587000,9485000
589.15,131072000,121587000,9485000
590.15,131072000,121587000,9485000
591.15,131072000,121587000,9485000
592.17,131072000,121587000,9485000
593.17,131072000,121587000,9485000
594.17,131072000,121587000,9485000
595.17,131072000,121587000,9485000
596.17,131072000,121587000,9485000
597.17,131072000,121587000,9485000
598.18,131072000,121587000,9485000
599.18,131072000,121587000,9485000
600.19,131072000,121587000,9485000
601.19,131072000,121587000,9485000
602.2,131072000,121587000,9485000
603.2,131072000,121587000,9485000
604.21,131072000,121587000,9485000
605.21,131072000,121587000,9485000
606.22,131072000,121587000,9485000
607.22,131072000,121587000,9485000
608.23,131072000,121587000,9485000
609.23,131072000,121587000,9485000
610.23,131072000,121587000,9485000
611.23,131072000,121587000,9485000
612.25,131072000,121587000,9485000
613.25,131072000,121587000,9485000
614.25,131072000,121587000,9485000
615.25,131072000,121587000,9485000
616.26,131072000,121587000,9485000
617.26,131072000,121587000,9485000
618.27,131072000,121587000,9485000
619.27,131072000,121587000,9485000
620.27,131072000,121587000,9485000
621.27,131072000,121587000,9485000
622.28,131072000,121587000,9485000
623.28,131072000,121587000,9485000
624.29,131072000,121587000,9485000
625.29,131072000,121587000,9485000
626.29,131072000,121587000,9485000
627.29,131072000,121587000,9485000
628.3,131072000,121587000,9485000
629.3,131072000,121587000,9485000
630.31,131072000,121587000,9485000
631.31,131072000,121587000,9485000
632.31,131072000,121587000,9485000
633.31,131072000,121587000,9485000
634.31,131072000,121587000,9485000
635.31,131072000,121587000,9485000
636.31,131072000,121587000,9485000
637.31,131072000,121587000,9485000
638.33,131072000,121587000,9485000
639.33,131072000,121587000,9485000
640.34,131072000,121587000,9485000
641.34,131072000,121587000,9485000
642.35,131072000,121587000,9485000
643.35,131072000,121587000,9485000
644.35,131072000,121587000,9485000
645.35,131072000,121587000,9485000
646.37,131072000,121587000,9485000
647.38,131072000,121587000,9485000
648.38,131072000,121587000,9485000
649.38,131072000,121587000,9485000
650.38,131072000,121587000,9485000
651.38,131072000,121587000,9485000
652.41,131072000,121587000,9485000
653.41,131072000,121587000,9485000
654.41,131072000,121587000,9485000
655.41,131072000,121587000,9485000
656.41,131072000,121587000,9485000
657.41,131072000,121587000,9485000
658.42,131072000,121587000,9485000
659.42,131072000,121587000,9485000
660.44,131072000,121587000,9485000
661.44,131072000,121587000,9485000
662.45,131072000,121587000,9485000
663.45,131072000,121587000,9485000
664.45,131072000,121587000,9485000
665.45,131072000,121587000,9485000
666.45,131072000,121587000,9485000
667.45,131072000,121587000,9485000
668.45,131072000,121587000,9485000
669.45,131072000,121587000,9485000
670.47,131072000,121587000,9485000
671.47,131072000,121587000,9485000
672.47,131072000,121587000,9485000
673.47,131072000,121587000,9485000
674.47,131072000,121587000,9485000
675.47,131072000,121587000,9485000
676.47,131072000,121587000,9485000
677.47,131072000,121587000,9485000
678.47,131072000,121587000,9485000
679.47,131072000,121587000,9485000
680.48,131072000,121587000,9485000
681.48,131072000,121587000,9485000
682.49,131072000,121587000,9485000
